star_id,pl_orbper,pl_tranmid,pl_trandurh,mission
EPIC 211562654,22.620344,2457212.0276,4.92,k2
EPIC 212157262,13.606629,2457155.08495,4.0296,k2
EPIC 212157262,2.871512,2457144.63842,2.376,k2
EPIC 211529065,1.543069,2457142.41998,1.644,k2
EPIC 216494238,19.89526,2457307.58114,8.267,k2
EPIC 217192839,16.034656,2457304.2916,3.0696,k2
EPIC 215969174,4.175186,2457314.4631,3.3792,k2
EPIC 220709978,15.38857,2457399.0595,4.3896,k2
EPIC 220376054,8.59656,2457396.6009,3.7296,k2
EPIC 220621788,13.68186,2457401.2729,3.12,k2
EPIC 220481411,2.1748,2457394.0417,1.84,k2
EPIC 220321605,9.795647,2457399.64109,2.5992,k2
EPIC 220621087,3.835476,2457395.23735,1.5408,k2
EPIC 220501947,4.024867,2457395.4140498,2.4984,k2
EPIC 220554210,4.169783,2457457.54493,2.7312,k2
EPIC 220629489,1.921036,2457394.90901,1.7496,k2
EPIC 220522262,8.687721,2457393.88208,2.7504,k2
EPIC 220696233,28.735327,2457401.9787,2.9904,k2
EPIC 201110617,0.813143,2457641.67248,1.3,k2
EPIC 201130233,0.3652575,2457582.822,1.161,k2
EPIC 201132684,10.06049,2457590.4834,3.8,k2
EPIC 201211526,21.06884,2457588.4749,3.9,k2
EPIC 201225286,12.42205,2457586.5082,3.3,k2
EPIC 201390048,9.45889,2457583.9076,3.0,k2
EPIC 211539054,11.02066,2457150.2894,4.32,k2
EPIC 211897691,19.507428,2457153.004667,3.4,k2
EPIC 212072539,2.787174,2457141.32497,1.46,k2
EPIC 212624936,11.811437,2457233.78707,2.064,k2
EPIC 214173069,8.777247,2457303.9091,2.904,k2
EPIC 214419545,9.401312,2457302.9354,2.112,k2
EPIC 220221272,13.62749,2457392.6002,2.16,k2
EPIC 220221272,6.679582,2457392.4243,1.512,k2
EPIC 220221272,4.194766,2457394.4158,1.272,k2
EPIC 220221272,9.715043,2457398.9666,1.992,k2
EPIC 220459477,2.380867,2457393.4544,1.92,k2
EPIC 220510874,7.473223,2457395.9056,3.5568,k2
EPIC 211413752,4.528598,2457143.974654,2.57,k2
EPIC 211413752,26.27057,2457142.191739,4.62,k2
EPIC 211413752,6.131243,2457142.343959,2.54,k2
EPIC 246876040,5.095717,2457825.2859,1.772,k2
EPIC 212756297,1.33711647,2455624.267096,1.809816,k2
EPIC 206103150,4.159151,2459407.761987,3.5722,k2
EPIC 212300977,4.465631,2455737.93919,3.53328,k2
EPIC 206154641,2.484193,2456016.2669,1.9728,k2
EPIC 201367065,10.0546535,2457165.32947,2.563,k2
EPIC 201367065,24.646729,2457329.85688,3.428,k2
EPIC 201367065,44.55603,2457271.78796,4.17,k2
EPIC 217671466,1.915291,2457311.7514,3.50832,k2
EPIC 201208431,10.003417,2456815.524,2.9232,k2
EPIC 201338508,5.73594,2456808.86,2.654,k2
EPIC 201338508,10.93241,2456814.601,3.498,k2
EPIC 201384232,30.94191,2456827.5014,5.28,k2
EPIC 201393098,28.6781,2456853.2946,7.5816,k2
EPIC 201445392,10.35239,2456813.6114,3.362,k2
EPIC 201465501,18.4498,2456822.6712,2.8397,k2
EPIC 201505350,7.9222,2456860.9023,3.237,k2
EPIC 201505350,11.8993,2456853.0007,3.823,k2
EPIC 201577035,19.30553,2456819.57944,3.8064,k2
EPIC 201596316,39.93767,2456829.829,5.808,k2
EPIC 201613023,8.28246,2456815.3701,4.18,k2
EPIC 201629650,39.91488,2456812.525,6.34,k2
EPIC 201635569,8.36802,2456811.4513,2.3304,k2
EPIC 201736247,11.8104,2456811.8509,2.4024,k2
EPIC 201754305,7.6188,2456811.6871,2.487,k2
EPIC 201754305,19.07863,2456809.48,3.859,k2
EPIC 201855371,17.96753,2456817.9462,2.592,k2
EPIC 201912552,32.939623,2457264.39144,2.682,k2
EPIC 202126852,2.79083,2456774.09164,2.25998692244802,k2
EPIC 206011691,9.325038,2456989.422,2.372,k2
EPIC 206011691,15.50192,2456988.471,2.333,k2
EPIC 201637175,0.381073,2456846.94318,0.5856,k2
EPIC 206103150,9.030501,2457024.430107,4.288,k2
EPIC 206103150,0.78961,2457012.13666,1.899,k2
EPIC 210490365,3.48456408,2458515.64206,0.7637,k2
EPIC 202083828,14.5665,2456775.1659,4.73,k2
EPIC 211089792,3.2588321,2453219.0095,2.22,k2
EPIC 210957318,4.098503,2457063.80714,2.3208,k2
EPIC 212110888,2.9956348,2457141.3514834,2.4768,k2
EPIC 212697709,3.951623,2457222.23863,1.8529999999992,k2
EPIC 204221263,4.01593,2456896.8786,2.74,k2
EPIC 204221263,10.56103,2456900.4752,2.38,k2
EPIC 211916756,10.1346454,2457140.7422121,2.856,k2
EPIC 220383386,0.959641,2457394.37454,1.609,k2
EPIC 220383386,29.8454,2457394.9788,4.869,k2
EPIC 220303276,4.0460435,2456787.81423,4.8048,k2
EPIC 216414930,3.619188,2457313.27367,4.36848,k2
EPIC 218131080,3.142702,2457311.23876,4.52376,k2
EPIC 211913977,14.6762429,2457152.6849877,3.336,k2
EPIC 211970147,9.915615,2457139.65518,2.66,k2
EPIC 211822797,21.1701963,2457144.4052567,3.576,k2
EPIC 220674823,0.5713127,2457394.00907,1.54,k2
EPIC 220674823,13.33989,2457405.732,3.661,k2
EPIC 216468514,3.313959,2457311.15178,3.2232,k2
EPIC 201437844,9.55237,2457586.5487,3.775,k2
EPIC 201437844,21.05704,2457569.0173,4.638,k2
EPIC 220504338,5.817685,2457398.70433,3.0744,k2
EPIC 211331236,5.444017,2457143.5663,2.1096,k2
EPIC 211680698,50.92092,2457160.473,4.104,k2
EPIC 212686205,5.675819,2457255.503,1.8048,k2
EPIC 214787262,8.239493,2457335.009,1.512,k2
EPIC 217941732,2.49412,2457340.612,1.704,k2
EPIC 228732031,0.3693038,2457582.936,1.00277809611943,k2
EPIC 228754001,9.1751,2457590.1491,7.169,k2
EPIC 218916923,28.380619,2457325.8175,4.9392,k2
EPIC 228735255,6.569188,2457588.28509,3.81,k2
EPIC 213715787,0.961939,2457343.30907,0.9024,k2
EPIC 220194974,4.38395,2457390.05956,1.776,k2
EPIC 220194974,6.9226,2457387.72777,2.0304,k2
EPIC 220194974,9.7579,2457386.34305,1.8,k2
EPIC 220598331,10.59357,2457391.96158,2.4,k2
EPIC 201128338,32.6479,2457608.6222,4.0,k2
EPIC 201598502,7.51574,2457588.427,2.3,k2
EPIC 228934525,3.67626,2457585.0533,1.7,k2
EPIC 228934525,7.95486,2457584.3376,2.1,k2
EPIC 219800881,13.841901,2457320.00164,2.94,k2
EPIC 201092629,26.8199,2457584.2063,4.1,k2
EPIC 201102594,6.51389,2457586.24,2.0,k2
EPIC 201132684,5.90279,2457583.8828,5.0,k2
EPIC 201166680,11.54182,2457593.2062,3.7,k2
EPIC 201166680,24.94598,2457584.505,5.2,k2
EPIC 201357643,11.89307,2457587.5524,4.2,k2
EPIC 201386739,5.76918,2457583.6761,3.4,k2
EPIC 228725791,2.25021,2457582.977,1.2,k2
EPIC 228725791,6.49424,2457588.1369,1.7,k2
EPIC 228739306,7.17256,2457588.1042,2.8,k2
EPIC 228748383,12.409,2457583.0457,5.9,k2
EPIC 228748826,4.01392,2457620.2535,2.3664,k2
EPIC 228758778,9.30075,2457589.0782,2.7,k2
EPIC 228763938,13.81513,2457596.1901,3.6,k2
EPIC 228809550,4.00167,2457583.9993,2.1,k2
EPIC 228849382,4.09639,2457582.9757,1.6,k2
EPIC 228849382,12.11839,2457590.6136,2.4,k2
EPIC 228894622,1.96417,2457583.3015,1.1,k2
EPIC 228974324,1.60588,2457583.2875,1.3,k2
EPIC 229017395,19.0921,2457586.2928,6.0,k2
EPIC 211413752,2.151676,2457143.654276,1.97,k2
EPIC 210693462,31.393463,2457063.402366,2.112,k2
EPIC 205071984,4.34934,2456898.87863,2.671,k2
EPIC 201238110,28.1656,2456852.6572,3.36,k2
EPIC 201833600,3.96151,2456852.6552,2.16,k2
EPIC 201841433,4.1698,2456811.6359,2.4,k2
EPIC 205950854,8.050722,2456973.7648,3.72,k2
EPIC 206024342,4.50756,2456899.1324,2.184,k2
EPIC 206042996,5.2986,2456989.0462,3.144,k2
EPIC 206215704,2.255436,2457010.0072,0.984,k2
EPIC 206317286,1.58252,2457011.3327,1.752,k2
EPIC 212297394,2.289363,2457217.96319,1.88,k2
EPIC 212424622,18.0983,2457263.2616,4.32,k2
EPIC 212587672,15.28078,2457227.644991,3.46,k2
EPIC 220554210,0.70531,2457466.1131,1.704,k2
EPIC 201205469,2.198884,2456810.4059,1.44,k2
EPIC 201295312,5.657,2456811.7094,4.296,k2
EPIC 201403446,19.1541,2456815.3353,6.73,k2
EPIC 201445392,5.06416,2456813.0707,2.08,k2
EPIC 201546283,6.771347,2456812.8447,2.802,k2
EPIC 201549860,5.608352,2456812.119,1.7976,k2
EPIC 202126849,3.799847,2456299.3037,1.81149135712685,k2
EPIC 201155177,6.68796,2456814.6763,3.04,k2
EPIC 201205469,3.471149,2456809.8843,2.0448,k2
EPIC 201345483,1.7292684,2456809.52604,1.689,k2
EPIC 201460826,17.355066,2456816.73696,9.168,k2
EPIC 201505350,2.5081,2456854.0726,1.93,k2
EPIC 201549860,2.399964,2456810.584,1.992,k2
EPIC 201647718,31.6372,2456825.703,4.0,k2
EPIC 201677835,20.5065,2456817.4859,3.01,k2
EPIC 201690311,2.77065,2456810.0203,2.307,k2
EPIC 201713348,5.340888,2456812.84001,1.153,k2
EPIC 201713348,1.422614,2456810.8916,1.1232,k2
EPIC 201833600,8.7529,2456810.3311,2.68,k2
EPIC 201862715,2.6556777,2456847.472856,2.59584,k2
EPIC 203771098,42.3391,2456915.4485,6.498,k2
EPIC 203771098,20.88977,2456905.8855,5.498,k2
EPIC 203776696,3.535055,2456896.02618,5.328,k2
EPIC 203826436,6.42966,2456898.8548,2.9016,k2
EPIC 203826436,14.09229,2456907.2331,2.65,k2
EPIC 203826436,4.4434,2456893.6753,2.3,k2
EPIC 204129699,1.25785,2457191.70889,0.9816,k2
EPIC 204750116,23.448172,2456898.8326,5.712,k2
EPIC 204890128,12.20772,2456896.38582,3.48,k2
EPIC 205071984,8.992,2456900.92676,3.488,k2
EPIC 205071984,31.71701,2456903.78707,4.888,k2
EPIC 205071984,20.66093,2456899.42344,4.35,k2
EPIC 205111664,15.937039,2456906.4351,3.288,k2
EPIC 205117205,5.424865,2456898.69288,4.08,k2
EPIC 205686202,13.156969,2456897.14325,4.032,k2
EPIC 205904628,9.978541,2457299.2465,3.6,k2
EPIC 205924614,2.849271,2456983.4229,2.006,k2
EPIC 205950854,15.8523,2456975.03774,3.792,k2
EPIC 206007892,6.380803,2456982.00971,3.096,k2
EPIC 206008091,12.400047,2456985.66694,4.176,k2
EPIC 206008091,7.576544,2456986.18553,3.432,k2
EPIC 206011496,2.36902,2457017.18078,2.3088,k2
EPIC 206024342,14.647531,2456985.47506,4.008,k2
EPIC 206024342,0.911724,2457016.52991,1.416,k2
EPIC 206026136,9.0073,2457011.3568,2.58,k2
EPIC 206026904,7.05254,2456986.9763,1.899,k2
EPIC 206026904,2.53726,2456982.12,1.996,k2
EPIC 206026904,22.8827,2456998.0703,3.2,k2
EPIC 206027655,20.6921,2456987.0603,2.76,k2
EPIC 206027655,11.2954,2456986.7095,1.75,k2
EPIC 206038483,3.00265,2456928.0593,3.08,k2
EPIC 206042996,0.354884,2457007.06827,1.0699999999992,k2
EPIC 206044803,2.57336,2456983.214,2.33,k2
EPIC 206049764,5.628466,2456979.46712,8.208,k2
EPIC 206055981,20.645099,2456997.3941,2.376,k2
EPIC 206082454,29.62682,2456993.53984,4.992,k2
EPIC 206082454,14.316941,2456982.29487,3.84,k2
EPIC 206096602,6.67199,2456982.685,1.56,k2
EPIC 206096602,16.19697,2456991.5453,1.29,k2
EPIC 206101302,25.4556,2456983.6454,4.24,k2
EPIC 206101302,20.257,2456989.5929,5.49,k2
EPIC 206119924,4.655411,2456979.948,1.89,k2
EPIC 206125618,6.53044,2456986.1918,3.06,k2
EPIC 201528828,14.101361,2457586.7581,2.70783725139596,k2
EPIC 201595106,0.87724,2457583.04429,1.0008,k2
EPIC 201615463,8.52695,2457586.7635,3.7,k2
EPIC 210667381,5.329439,2457066.78593,2.76,k2
EPIC 210965800,8.747818,2457070.33656,3.4272,k2
EPIC 211562654,0.469285,2457196.91237,1.5408,k2
EPIC 211611158,10.616384,2457144.727092,2.6,k2
EPIC 211611158,52.713494,2457159.157391,4.64,k2
EPIC 211682544,50.818947,2458111.1274,3.4872,k2
EPIC 211906650,41.474219,2457154.8454,6.12,k2
EPIC 211978988,36.552551,2457152.708694,6.25,k2
EPIC 212157262,0.77401,2457184.43637,1.5792,k2
EPIC 212394689,2.58812,2457222.1466,2.22,k2
EPIC 212689874,28.482786,2457243.00895,5.976,k2
EPIC 216008129,1.05979,2457301.98415,1.7496,k2
EPIC 216008129,22.779878,2457319.78302,3.648,k2
EPIC 216405287,3.405164,2457304.25153,2.0328,k2
EPIC 217192839,7.9389334,2457304.844,1.464,k2
EPIC 217192839,26.803023,2457307.9152,2.928,k2
EPIC 217977895,21.700156,2457314.3647,4.104,k2
EPIC 218668602,1.865962,2457302.0928,1.9632,k2
EPIC 220170303,9.6952,2457435.4189,3.1032,k2
EPIC 220186645,7.055908,2457452.955,4.5696,k2
EPIC 220211923,26.672263,2457413.41914,6.048,k2
EPIC 220218012,12.48749,2457403.64459,4.296,k2
EPIC 220225178,4.19097,2457430.039,1.944,k2
EPIC 220256496,0.669561,2457432.6479,1.2912,k2
EPIC 220471666,8.269648,2457394.33225,2.232,k2
EPIC 220487418,14.074524,2457395.00447,5.688,k2
EPIC 220503236,8.679885,2457396.45914,3.84,k2
EPIC 220592745,3.901287,2457396.7453,3.408,k2
EPIC 220592745,6.66767,2457398.41574,4.824,k2
EPIC 220592745,11.137278,2457404.59425,4.896,k2
EPIC 220650439,2.399094,2457395.35581,2.5032,k2
EPIC 228721452,0.50557,2457637.66396,0.9,k2
EPIC 228721452,4.562546,2457628.61208,2.8,k2
EPIC 228725972,4.47904,2457585.6719,2.4,k2
EPIC 228725972,10.09489,2457588.4157,3.6,k2
EPIC 228734900,15.8723,2457619.1111,6.192,k2
EPIC 228736155,3.27109,2457620.0082,2.3232,k2
EPIC 228798746,2.69828,2457583.1943,1.5,k2
EPIC 228801451,0.584216,2457646.56655,1.5,k2
